ticker,company,sector,sub_industry,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd
FIX,Comfort Systems USA,Industrials,Construction & Engineering,,,,,1.0,1.0,3.0,,,0.0,21184000.0,30379000.0
FLEX,Flex Ltd.,Information Technology,Electronic Manufacturing Services,1.0,,,,1.0,1.0,3.0,7.0,9.0,1.0,1298000000.0,
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,,,,,1.0,1.0,3.0,,,1.0,2000000000.0,299000000.0
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,,,,,1.0,0.0,3.0,,,1.0,,
FSLR,First Solar,Information Technology,Semiconductors,,,,,1.0,0.0,3.0,,,1.0,,
FTNT,Fortinet,Information Technology,Systems Software,,,,,1.0,1.0,1.0,,,1.0,1500500000.0,
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,1.0,3.0,,,1.0,272900000.0,102000000.0
GD,General Dynamics,Industrials,Aerospace & Defense,,,,,1.0,1.0,3.0,11.0,12.0,1.0,434000000.0,1428000000.0
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,,,,,1.0,1.0,3.0,,,0.0,1270200000.0,
GE,GE Aerospace,Industrials,Aerospace & Defense,,1.0,reasonable,,1.0,1.0,3.0,,,0.0,1233000000.0,
GEHC,GE HealthCare,Health Care,Health Care Equipment,1.0,,,,1.0,1.0,3.0,,,1.0,0.0,41000000.0
GEN,Gen Digital,Information Technology,Systems Software,,,,,1.0,1.0,3.0,,,1.0,441000000.0,323000000.0
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,,,,1.0,1.0,1.0,3.0,,,1.0,0.0,0.0
GILD,Gilead Sciences,Health Care,Biotechnology,,,,,1.0,1.0,3.0,8.0,9.0,1.0,1000000000.0,3809000000.0
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,,,,,1.0,1.0,3.0,,,1.0,2002400000.0,1363400000.0
GL,Globe Life,Financials,Life & Health Insurance,,,,,1.0,1.0,3.0,,,1.0,511100000.0,84116000.0
GLW,Corning Inc.,Information Technology,Electronic Components,1.0,,,,1.0,1.0,3.0,,,1.0,,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,,,,,1.0,1.0,3.0,,,1.0,11115000000.0,597000000.0
GNRC,Generac,Industrials,Heavy Electrical Equipment,,,,,1.0,1.0,3.0,,,1.0,251513000.0,0.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,,,,,1.0,1.0,3.0,,,1.0,61504000000.0,0.0
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,,,,,1.0,1.0,3.0,9.0,11.0,1.0,261473000.0,526674000.0
GPN,Global Payments,Financials,Transaction & Payment Processing Services,,,,,1.0,1.0,3.0,,,1.0,418272000.0,260431000.0
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,,,,1.0,1.0,0.0,,,,1.0,,558769000.0
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,,,,,1.0,1.0,5.0,11.0,13.0,1.0,5796000000.0,4189000000.0
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,,,,,1.0,1.0,3.0,11.0,12.0,1.0,850000000.0,392000000.0
